match_id,match,city,home_team,away_team,home_support,away_support,net_home_adv_goals,rationale
4cd769aa7bae0ad9762bd69b80ef2903,Scotland vs Morocco,Boston (Foxborough),Scotland,Morocco,0.15,0.1,0.017,Scotland has a modest local following in Boston (Foxborough); Morocco has a modest local following in Boston (Foxborough) -> net favours Scotland (+0.02).
ef0f74a991d3e35798ae5af77667bce1,Brazil vs Haiti,Philadelphia,Brazil,Haiti,0.2,0.2,0.0,Brazil has a modest local following in Philadelphia; Haiti has a modest local following in Philadelphia -> balanced (~0).
f955d4b3395ce6e3b5ac1031ca52ca4e,Turkey vs Paraguay,San Francisco Bay Area,Turkey,Paraguay,0.1,0.0,0.035,Turkey has a modest local following in San Francisco Bay Area -> net favours Turkey (+0.04).
4f0c518545b0096c68326daf25bffc1e,Netherlands vs Sweden,Houston,Netherlands,Sweden,0.0,0.0,0.0,Houston: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
f1ab0f69832972a329243522ceaa7804,Germany vs Ivory Coast,Toronto,Germany,Ivory Coast,0.1,0.1,0.0,Germany has a modest local following in Toronto; Ivory Coast has a modest local following in Toronto -> balanced (~0).
681895f294b670b4c7b14495dfb583bc,Ecuador vs Curaçao,Kansas City,Ecuador,Curaçao,0.0,0.0,0.0,Kansas City: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
dfc5202cf1b8ae002cf952cd04f235b9,Tunisia vs Japan,Monterrey,Tunisia,Japan,0.0,0.05,-0.017,Monterrey: no strong diaspora edge for either side (near-neutral) -> net favours Japan (-0.02 to Tunisia).
73529a242e319a86bf3d00ddb4accc37,Spain vs Saudi Arabia,Atlanta,Spain,Saudi Arabia,0.1,0.0,0.035,Spain has a modest local following in Atlanta -> net favours Spain (+0.04).
5f92f257386ec5bf7c6e2498a21f3a61,Belgium vs Iran,Los Angeles (Inglewood),Belgium,Iran,0.0,0.4,-0.14,Iran has a strong local diaspora in Los Angeles (Inglewood) -> net favours Iran (-0.14 to Belgium).
852a3abe6d46820720febc0fedebff9a,Uruguay vs Cape Verde,Miami (Miami Gardens),Uruguay,Cape Verde,0.25,0.1,0.052,Uruguay has a modest local following in Miami (Miami Gardens); Cape Verde has a modest local following in Miami (Miami Gardens) -> net favours Uruguay (+0.05).
c1ec9a65f4b4cf74477b368a7d6282de,New Zealand vs Egypt,Vancouver,New Zealand,Egypt,0.1,0.1,0.0,New Zealand has a modest local following in Vancouver; Egypt has a modest local following in Vancouver -> balanced (~0).
be6c63f416c67bca1300a98f5b89c3af,Argentina vs Austria,Dallas (Arlington),Argentina,Austria,0.0,0.0,0.0,Dallas (Arlington): no strong diaspora edge for either side (near-neutral) -> balanced (~0).
7ad7a0ce2ef2618bb59b066da5642f70,France vs Iraq,Philadelphia,France,Iraq,0.05,0.0,0.017,Philadelphia: no strong diaspora edge for either side (near-neutral) -> net favours France (+0.02).
3f48473742ca0fd2a85930554720c75e,Norway vs Senegal,New York/New Jersey,Norway,Senegal,0.05,0.3,-0.087,Senegal has a strong local diaspora in New York/New Jersey -> net favours Senegal (-0.09 to Norway).
fd8533b650e655030f6a7946f8795db2,Jordan vs Algeria,San Francisco Bay Area,Jordan,Algeria,0.0,0.05,-0.017,San Francisco Bay Area: no strong diaspora edge for either side (near-neutral) -> net favours Algeria (-0.02 to Jordan).
8ba93d190f1f934e33862a97a6353a6e,Portugal vs Uzbekistan,Houston,Portugal,Uzbekistan,0.0,0.05,-0.017,Houston: no strong diaspora edge for either side (near-neutral) -> net favours Uzbekistan (-0.02 to Portugal).
2f49dd8deae3079dc4eb2d634d18a99c,England vs Ghana,Boston (Foxborough),England,Ghana,0.1,0.1,0.0,England has a modest local following in Boston (Foxborough); Ghana has a modest local following in Boston (Foxborough) -> balanced (~0).
c1bc8c26480cd42b89a0de5329581314,Panama vs Croatia,Toronto,Panama,Croatia,0.1,0.3,-0.07,Panama has a modest local following in Toronto; Croatia has a strong local diaspora in Toronto -> net favours Croatia (-0.07 to Panama).
68bfc965eb267508e04d8e8d75c1a0ae,Colombia vs DR Congo,Guadalajara,Colombia,DR Congo,0.1,0.0,0.035,Colombia has a modest local following in Guadalajara -> net favours Colombia (+0.04).
512ac18beb5aa936a59f7ea3e497ada2,Bosnia & Herzegovina vs Qatar,Seattle,Bosnia & Herzegovina,Qatar,0.0,0.0,0.0,Seattle: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
c9ef5822ee64fd5275f7c73251bb56c7,Switzerland vs Canada,Vancouver,Switzerland,Canada,0.1,0.9,-0.28,Switzerland has a modest local following in Vancouver; Canada plays at home in Canada (true home crowd) -> net favours Canada (-0.28 to Switzerland).
885ba95805db310a7bcc3fb1a7a6dd28,Scotland vs Brazil,Miami (Miami Gardens),Scotland,Brazil,0.0,0.4,-0.14,Brazil has a strong local diaspora in Miami (Miami Gardens) -> net favours Brazil (-0.14 to Scotland).
d1279ce7f33136a33e99ad442fc855e8,Morocco vs Haiti,Atlanta,Morocco,Haiti,0.1,0.15,-0.017,Morocco has a modest local following in Atlanta; Haiti has a modest local following in Atlanta -> net favours Haiti (-0.02 to Morocco).
5993bd5196ca09f83990f0c3261e442e,Czech Republic vs Mexico,Mexico City,Czech Republic,Mexico,0.0,1.0,-0.35,Mexico plays at home in Mexico (true home crowd) -> net favours Mexico (-0.35 to Czech Republic).
c0355dfc6e26ec327e379b6ef5824a5f,South Africa vs South Korea,Monterrey,South Africa,South Korea,0.0,0.0,0.0,Monterrey: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
a5a0b544a984ab16e564264f3e859b43,Curaçao vs Ivory Coast,Philadelphia,Curaçao,Ivory Coast,0.0,0.1,-0.035,Ivory Coast has a modest local following in Philadelphia -> net favours Ivory Coast (-0.04 to Curaçao).
0ec28b84ec399bd4dffbe8d1bc72b3c4,Ecuador vs Germany,New York/New Jersey,Ecuador,Germany,0.3,0.1,0.07,Ecuador has a strong local diaspora in New York/New Jersey; Germany has a modest local following in New York/New Jersey -> net favours Ecuador (+0.07).
0ed0233bddc4eafc8507f86a9c17b998,Japan vs Sweden,Dallas (Arlington),Japan,Sweden,0.0,0.0,0.0,Dallas (Arlington): no strong diaspora edge for either side (near-neutral) -> balanced (~0).
f3c4657daa143a0c5bd62cb370d01ce4,Tunisia vs Netherlands,Kansas City,Tunisia,Netherlands,0.0,0.0,0.0,Kansas City: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
22f6ac06dfcc88a847920f62633e6459,Paraguay vs Australia,San Francisco Bay Area,Paraguay,Australia,0.0,0.1,-0.035,Australia has a modest local following in San Francisco Bay Area -> net favours Australia (-0.04 to Paraguay).
f41aeac9a8343a84b4950f15ea25fba2,Turkey vs USA,Los Angeles (Inglewood),Turkey,USA,0.0,0.95,-0.332,USA plays at home in USA (true home crowd) -> net favours USA (-0.33 to Turkey).
b86b4d60f773e9e3c46c00e9a6496e79,Norway vs France,Boston (Foxborough),Norway,France,0.05,0.0,0.017,Boston (Foxborough): no strong diaspora edge for either side (near-neutral) -> net favours Norway (+0.02).
7e6aee294ea1a4792c59558791084528,Senegal vs Iraq,Toronto,Senegal,Iraq,0.15,0.15,0.0,Senegal has a modest local following in Toronto; Iraq has a modest local following in Toronto -> balanced (~0).
e07b1926be5a4d515c7eb108dbcee9c5,Cape Verde vs Saudi Arabia,Houston,Cape Verde,Saudi Arabia,0.0,0.0,0.0,Houston: no strong diaspora edge for either side (near-neutral) -> balanced (~0).
dcff2e31c0bce001a4db5caaf4fa8822,Uruguay vs Spain,Guadalajara,Uruguay,Spain,0.1,0.15,-0.017,Uruguay has a modest local following in Guadalajara; Spain has a modest local following in Guadalajara -> net favours Spain (-0.02 to Uruguay).
581691da05dcd75b5c6d3be91ee9d2ab,New Zealand vs Belgium,Vancouver,New Zealand,Belgium,0.1,0.05,0.017,New Zealand has a modest local following in Vancouver -> net favours New Zealand (+0.02).
3e3b5fa2b3c963e74cf044c60db0b573,Egypt vs Iran,Seattle,Egypt,Iran,0.15,0.15,0.0,Egypt has a modest local following in Seattle; Iran has a modest local following in Seattle -> balanced (~0).
537c0997cd899394f47f16545b7068b2,Croatia vs Ghana,Philadelphia,Croatia,Ghana,0.1,0.1,0.0,Croatia has a modest local following in Philadelphia; Ghana has a modest local following in Philadelphia -> balanced (~0).
4be17c8e1ccfecb0f2a5ef79e045c415,Panama vs England,New York/New Jersey,Panama,England,0.15,0.1,0.017,Panama has a modest local following in New York/New Jersey; England has a modest local following in New York/New Jersey -> net favours Panama (+0.02).
67ae5751c401a98409b8566ae4897069,Colombia vs Portugal,Miami (Miami Gardens),Colombia,Portugal,0.55,0.15,0.14,Colombia has a strong local diaspora in Miami (Miami Gardens); Portugal has a modest local following in Miami (Miami Gardens) -> net favours Colombia (+0.14).
13eab94a136b9c264ba974cf437a5f71,DR Congo vs Uzbekistan,Atlanta,DR Congo,Uzbekistan,0.1,0.0,0.035,DR Congo has a modest local following in Atlanta -> net favours DR Congo (+0.04).
8756200e539155e571557c4f2e0d7f05,Algeria vs Austria,Kansas City,Algeria,Austria,0.0,0.05,-0.017,Kansas City: no strong diaspora edge for either side (near-neutral) -> net favours Austria (-0.02 to Algeria).
54697f453437ab26276d773be1d72e9b,Jordan vs Argentina,Dallas (Arlington),Jordan,Argentina,0.0,0.0,0.0,Dallas (Arlington): no strong diaspora edge for either side (near-neutral) -> balanced (~0).
